feature,importance
num__temperature,0.7296550774686476
num__vibration,0.25120158858097413
num__humidity_diff_1,0.001268332090036814
num__temperature_roll15_mean,0.0012413511828599751
num__energy_consumption_diff_1,0.0010757543558077769
num__energy_consumption_roll15_mean,0.001052296272455085
num__temperature_roll5_mean,0.00098170203376512
num__vibration_roll5_std,0.0009431826368519721
num__temperature_roll5_std,0.0008747246365515099
num__energy_consumption_roll5_mean,0.000855419793306913
num__energy_consumption_roll5_std,0.000838047545612229
num__vibration_diff_1,0.0008237821086130737
num__humidity_lag_1,0.0007960003823591371
num__pressure_roll5_std,0.0007876473814809158
num__humidity_roll5_std,0.0007582536405588472
